"";"Pais";"GII";"Ranking";"Mort.Maternal";"Nac.Adolescentes";"AsientosParlamento";"M.Educacion";"H.Educacion";"M.Pob.Activa";"H.Pob.Activa"
"1";"Norway";"4.4116419479600544E-2";"5";"5";"5.141";"41.420118340000002";"96.066689999999994";"94.810299999999998";"60.2";"66.7"
"2";"Switzerland";"3.6718722187391362E-2";"1";"5";"2.7629999999999999";"29.268292679999998";"96.371359999999996";"97.162589999999994";"62.6";"74.099999999999994"
"3";"Ireland";"9.2902528710027577E-2";"22";"8";"7.5149999999999997";"24.31192661";"90.238";"86.30795123";"55.1";"68.099999999999994"
"4";"Germany";"8.3537887449592563E-2";"19";"6";"8.0950000000000006";"31.491002569999999";"95.994839999999996";"96.640519999999995";"55.3";"66.2"
"5";"Hong Kong";"";"";"";"2.7050000000000001";"";"76.585279999999997";"82.915099999999995";"54.1";"67.8"
"6";"Australia";"0.10287730818702834";"25";"6";"11.715";"32.743362830000002";"89.993579999999994";"90.745149999999995";"59.7";"70.5"
"7";"Iceland";"5.7485973673396251E-2";"9";"3";"6.2690000000000001";"38.095238100000003";"100";"100";"72.099999999999994";"80.599999999999994"
"8";"Sweden";"4.0217716587950703E-2";"2";"4";"5.0759999999999996";"46.131805159999999";"88.813670000000002";"88.978999999999999";"61.1";"67.599999999999994"
"9";"Singapore";"6.49076863827589E-2";"11";"10";"3.53";"23";"76.268060000000006";"83.262150000000005";"60.5";"76.3"
"10";"Netherlands";"4.1109984385139575E-2";"4";"7";"3.7879999999999998";"35.555555560000002";"86.56447";"90.066800000000001";"58";"68.900000000000006"
"11";"Denmark";"3.9597173601869429E-2";"2";"6";"4.1230000000000002";"37.430167599999997";"89.180139999999994";"89.432699999999997";"58.1";"65.900000000000006"
"12";"Finland";"5.0395436864459242E-2";"7";"3";"5.8129999999999997";"42";"100";"100";"55";"62.2"
"13";"Canada";"8.2716424657450216E-2";"18";"7";"8.3870000000000005";"31.662870160000001";"100";"100";"60.9";"69.7"
"14";"New Zealand";"0.13293942293655325";"34";"11";"19.27";"38.333333330000002";"97.189170000000004";"96.587339999999998";"64.599999999999994";"75.7"
"15";"United Kingdom";"0.11919006989133973";"27";"9";"13.37";"28.938237340000001";"82.875220209999995";"85.726019570000005";"57.1";"67.8"
"16";"United States";"0.18160346074953182";"42";"14";"19.86";"23.595505620000001";"95.704070000000002";"95.456900000000005";"56.1";"68.2"
"17";"Belgium";"4.5443996695445077E-2";"6";"7";"4.6509999999999998";"41.428571429999998";"82.621459999999999";"87.100120000000004";"47.9";"58.9"
"18";"Liechtenstein";"";"";"";"";"12";"";"";"";""
"19";"Japan";"9.8649094381129454E-2";"23";"5";"3.78";"13.71994342";"95.18";"92.16";"51.4";"70.7"
"20";"Austria";"7.3148202243740301E-2";"14";"4";"7.34";"34.836065570000002";"100";"100";"54.8";"65.900000000000006"
